y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
4.0,155.0,2011.0,70.0,56.0,11.0,67.0
3.5,179.0,2013.0,82.0,55.0,8.0,19.0
3.5,384.0,2012.0,70.0,18.0,11.0,68.0
3.0,45.0,2013.0,70.0,56.0,11.0,34.0
3.75,301.0,2016.0,70.0,56.0,12.0,16.0
3.0,379.0,2006.0,66.0,18.0,11.0,7.0
2.75,108.0,2015.0,70.0,2.0,12.0,1.0
2.75,38.0,2009.0,72.0,50.0,12.0,63.0
2.5,248.0,2012.0,70.0,56.0,6.0,32.0
3.75,180.0,2013.0,70.0,7.0,8.0,67.0
3.5,154.0,2013.0,66.0,56.0,12.0,46.0
4.0,112.0,2012.0,70.0,22.0,6.0,27.0
3.25,229.0,2012.0,72.0,56.0,12.0,29.0
3.25,141.0,2014.0,74.0,18.0,11.0,68.0
3.5,57.0,2010.0,71.0,50.0,11.0,37.0
3.5,379.0,2009.0,68.0,18.0,8.0,23.0
3.5,39.0,2016.0,75.0,56.0,12.0,57.0
3.0,10.0,2007.0,70.0,56.0,12.0,67.0
3.25,302.0,2011.0,75.0,18.0,6.0,67.0
2.75,285.0,2014.0,68.0,54.0,12.0,45.0
3.25,248.0,2015.0,75.0,56.0,12.0,57.0
3.5,393.0,2013.0,70.0,56.0,11.0,60.0
4.0,326.0,2009.0,65.0,56.0,8.0,23.0
2.5,313.0,2009.0,75.0,14.0,8.0,19.0
2.75,121.0,2012.0,75.0,56.0,12.0,3.0
3.75,335.0,2014.0,73.0,7.0,11.0,37.0
3.25,111.0,2011.0,70.0,56.0,11.0,37.0
3.25,9.0,2013.0,80.0,56.0,12.0,3.0
3.75,181.0,2011.0,72.0,54.0,12.0,67.0
3.0,144.0,2014.0,80.0,56.0,11.0,2.0
3.25,166.0,2009.0,64.0,29.0,12.0,65.0
3.0,36.0,2008.0,70.0,56.0,12.0,41.0
3.25,159.0,2015.0,65.0,19.0,11.0,37.0
2.75,138.0,2013.0,60.0,51.0,12.0,55.0
3.25,108.0,2011.0,70.0,2.0,12.0,1.0
3.0,172.0,2015.0,67.0,56.0,12.0,4.0
3.25,13.0,2015.0,70.0,7.0,12.0,67.0
3.5,18.0,2016.0,73.0,56.0,11.0,68.0
2.5,243.0,2012.0,72.0,32.0,11.0,37.0
3.25,112.0,2009.0,60.0,22.0,6.0,27.0
3.5,174.0,2016.0,77.0,56.0,7.0,19.0
3.5,251.0,2016.0,70.0,30.0,6.0,28.0
3.0,160.0,2015.0,66.0,56.0,11.0,4.0
2.5,204.0,2011.0,72.0,39.0,12.0,46.0
3.25,393.0,2013.0,70.0,56.0,12.0,19.0
3.5,319.0,2011.0,73.0,24.0,6.0,67.0
3.0,289.0,2016.0,72.0,7.0,11.0,2.0
3.5,130.0,2015.0,70.0,56.0,11.0,67.0
2.5,179.0,2008.0,80.0,55.0,8.0,62.0
3.0,346.0,2012.0,70.0,56.0,12.0,18.0
3.5,320.0,2010.0,72.0,29.0,12.0,7.0
3.5,209.0,2015.0,70.0,56.0,12.0,57.0
3.0,297.0,2009.0,72.0,4.0,8.0,4.0
3.75,229.0,2013.0,72.0,56.0,12.0,29.0
3.0,281.0,2009.0,75.0,56.0,12.0,23.0
2.75,319.0,2011.0,77.0,24.0,8.0,48.0
3.5,23.0,2015.0,70.0,56.0,12.0,4.0
3.25,111.0,2011.0,70.0,56.0,12.0,18.0
2.5,9.0,2013.0,60.0,56.0,12.0,67.0
3.0,170.0,2014.0,70.0,14.0,11.0,19.0
4.0,1.0,2010.0,60.0,6.0,8.0,4.0
3.5,186.0,2015.0,70.0,56.0,11.0,2.0
2.5,126.0,2015.0,70.0,55.0,11.0,67.0
3.75,263.0,2013.0,78.0,31.0,8.0,46.0
2.75,146.0,2016.0,76.0,42.0,11.0,2.0
3.5,242.0,2014.0,70.0,56.0,12.0,18.0
3.5,294.0,2009.0,70.0,56.0,11.0,67.0
3.5,122.0,2014.0,72.0,55.0,6.0,41.0
3.0,201.0,2010.0,71.0,56.0,12.0,67.0
3.5,13.0,2015.0,68.0,7.0,12.0,46.0
3.5,177.0,2015.0,70.0,28.0,12.0,19.0
3.5,357.0,2013.0,70.0,24.0,6.0,37.0
3.25,369.0,2014.0,81.0,14.0,8.0,19.0
2.75,289.0,2014.0,72.0,7.0,12.0,3.0
3.5,59.0,2015.0,77.0,57.0,11.0,67.0
2.75,155.0,2011.0,74.0,56.0,8.0,23.0
3.75,18.0,2015.0,70.0,56.0,8.0,19.0
3.5,203.0,2009.0,69.0,18.0,6.0,67.0
3.75,39.0,2012.0,70.0,56.0,11.0,37.0
4.0,302.0,2006.0,80.0,18.0,6.0,19.0
3.0,157.0,2014.0,76.0,56.0,8.0,46.0
3.5,31.0,2013.0,74.0,4.0,6.0,67.0
2.75,308.0,2010.0,70.0,22.0,12.0,27.0
3.5,388.0,2016.0,70.0,36.0,11.0,18.0
3.0,271.0,2012.0,70.0,56.0,12.0,19.0
3.5,292.0,2014.0,70.0,56.0,12.0,18.0
2.25,391.0,2013.0,100.0,55.0,12.0,32.0
3.0,302.0,2008.0,75.0,18.0,11.0,45.0
3.25,67.0,2015.0,72.0,10.0,12.0,12.0
3.75,297.0,2010.0,78.0,4.0,6.0,13.0
3.25,161.0,2016.0,77.0,56.0,12.0,41.0
3.0,287.0,2012.0,72.0,39.0,12.0,46.0
3.5,69.0,2015.0,72.0,56.0,11.0,30.0
2.75,27.0,2016.0,80.0,56.0,12.0,4.0
3.0,125.0,2010.0,70.0,29.0,11.0,67.0
2.75,256.0,2011.0,70.0,38.0,12.0,41.0
3.25,285.0,2009.0,68.0,54.0,12.0,3.0
3.0,193.0,2008.0,85.0,14.0,12.0,19.0
3.0,206.0,2015.0,75.0,18.0,12.0,13.0
3.75,174.0,2016.0,68.0,56.0,0.0,3.0
2.75,193.0,2008.0,85.0,14.0,12.0,19.0
3.5,18.0,2015.0,75.0,56.0,12.0,19.0
2.75,167.0,2013.0,65.0,56.0,12.0,28.0
3.0,84.0,2016.0,60.0,56.0,12.0,18.0
3.0,179.0,2013.0,75.0,55.0,11.0,60.0
3.5,224.0,2013.0,65.0,40.0,11.0,47.0
2.75,19.0,2011.0,72.0,55.0,12.0,44.0
3.25,68.0,2016.0,65.0,9.0,11.0,9.0
3.75,18.0,2016.0,70.0,56.0,12.0,18.0
3.0,125.0,2008.0,70.0,29.0,12.0,9.0
4.0,337.0,2016.0,70.0,2.0,6.0,19.0
3.5,259.0,2015.0,63.0,14.0,12.0,19.0
3.0,4.0,2009.0,70.0,14.0,8.0,19.0
3.25,270.0,2014.0,75.0,56.0,8.0,46.0
3.5,273.0,2015.0,70.0,56.0,11.0,37.0
2.5,199.0,2014.0,72.5,56.0,12.0,19.0
3.25,103.0,2010.0,72.0,19.0,11.0,34.0
3.5,76.0,2011.0,70.0,18.0,12.0,63.0
3.0,285.0,2009.0,70.0,54.0,8.0,10.0
3.5,86.0,2015.0,68.0,0.0,8.0,10.0
3.5,174.0,2014.0,67.0,56.0,0.0,3.0
2.75,188.0,2015.0,63.0,11.0,11.0,37.0
2.25,319.0,2012.0,76.0,24.0,11.0,67.0
3.75,229.0,2015.0,72.0,56.0,12.0,12.0
3.75,343.0,2013.0,70.0,7.0,6.0,67.0
2.0,216.0,2015.0,75.0,56.0,12.0,41.0
3.25,198.0,2014.0,72.0,56.0,12.0,18.0
3.25,131.0,2016.0,75.0,56.0,12.0,30.0
2.75,109.0,2017.0,72.0,56.0,12.0,18.0
3.5,363.0,2012.0,70.0,56.0,12.0,18.0
3.0,334.0,2011.0,68.0,29.0,6.0,9.0
4.0,174.0,2016.0,72.0,56.0,2.0,3.0
3.5,404.0,2014.0,75.0,56.0,11.0,37.0
3.5,35.0,2008.0,75.0,56.0,12.0,44.0
3.5,103.0,2009.0,70.0,19.0,6.0,67.0
3.75,156.0,2012.0,70.0,12.0,12.0,41.0
3.25,40.0,2014.0,75.0,18.0,12.0,18.0
3.5,212.0,2012.0,68.0,56.0,6.0,3.0
3.75,157.0,2014.0,70.0,56.0,11.0,60.0
3.0,193.0,2008.0,85.0,14.0,12.0,19.0
3.75,87.0,2015.0,69.0,46.0,8.0,46.0
3.5,231.0,2015.0,70.0,56.0,11.0,19.0
2.0,302.0,2009.0,75.0,18.0,12.0,67.0
3.25,399.0,2012.0,90.0,3.0,12.0,3.0
2.75,238.0,2012.0,73.0,56.0,11.0,67.0
3.0,346.0,2012.0,80.0,56.0,12.0,18.0
3.5,155.0,2014.0,70.0,56.0,8.0,46.0
3.5,18.0,2015.0,68.0,56.0,8.0,46.0
3.25,122.0,2014.0,72.0,55.0,12.0,44.0
2.75,404.0,2011.0,73.0,56.0,12.0,18.0
2.75,165.0,2009.0,60.0,21.0,11.0,25.0
3.5,8.0,2017.0,70.0,35.0,11.0,68.0
3.0,270.0,2014.0,75.0,56.0,11.0,2.0
2.75,6.0,2010.0,75.0,54.0,6.0,37.0
3.0,44.0,2015.0,60.0,56.0,12.0,18.0
2.75,168.0,2014.0,74.0,7.0,12.0,63.0
3.75,302.0,2006.0,75.0,18.0,6.0,37.0
3.25,390.0,2013.0,75.0,27.0,6.0,46.0
4.0,247.0,2006.0,67.0,18.0,12.0,18.0
3.75,43.0,2015.0,68.0,56.0,12.0,18.0
3.0,372.0,2014.0,72.0,56.0,12.0,18.0
3.0,137.0,2008.0,61.0,57.0,6.0,67.0
3.25,183.0,2012.0,70.0,56.0,12.0,18.0
3.75,263.0,2013.0,70.0,31.0,12.0,60.0
3.5,117.0,2007.0,77.0,56.0,12.0,18.0
2.0,247.0,2006.0,60.0,18.0,12.0,63.0
3.5,68.0,2016.0,65.0,9.0,5.0,9.0
3.0,33.0,2011.0,64.0,54.0,11.0,37.0
3.25,311.0,2016.0,75.0,18.0,6.0,46.0
3.0,379.0,2007.0,72.0,18.0,3.0,67.0
1.5,62.0,2008.0,91.0,14.0,8.0,19.0
4.0,302.0,2006.0,75.0,18.0,11.0,34.0
3.0,0.0,2013.0,70.0,18.0,6.0,37.0
3.25,29.0,2016.0,70.0,56.0,12.0,3.0
3.75,273.0,2015.0,70.0,56.0,8.0,23.0
3.25,231.0,2016.0,75.0,56.0,11.0,68.0
3.0,212.0,2012.0,74.0,56.0,12.0,18.0
3.25,35.0,2010.0,75.0,56.0,12.0,32.0
2.75,381.0,2009.0,80.0,32.0,11.0,37.0
2.75,322.0,2012.0,83.0,56.0,12.0,8.0
3.75,6.0,2011.0,75.0,54.0,11.0,32.0
3.5,231.0,2015.0,70.0,56.0,12.0,41.0
3.25,86.0,2015.0,75.0,0.0,11.0,18.0
2.75,69.0,2013.0,70.0,56.0,6.0,46.0
2.75,327.0,2015.0,70.0,55.0,12.0,25.0
3.5,167.0,2007.0,72.0,56.0,3.0,63.0
3.75,181.0,2011.0,72.0,54.0,6.0,67.0
3.75,399.0,2012.0,70.0,3.0,12.0,18.0
3.25,174.0,2016.0,70.0,56.0,0.0,2.0
3.25,238.0,2015.0,74.0,56.0,12.0,57.0
2.5,380.0,2012.0,72.0,56.0,8.0,23.0
3.0,244.0,2015.0,70.0,23.0,12.0,20.0
3.75,285.0,2011.0,66.0,54.0,12.0,3.0
4.0,147.0,2006.0,68.0,54.0,6.0,3.0
4.0,294.0,2009.0,75.0,56.0,11.0,37.0
3.5,305.0,2013.0,85.0,6.0,12.0,4.0
3.5,0.0,2012.0,70.0,18.0,12.0,3.0
3.25,235.0,2010.0,65.0,56.0,12.0,42.0
3.0,324.0,2009.0,70.0,9.0,8.0,9.0
3.25,43.0,2013.0,70.0,56.0,12.0,19.0
3.75,177.0,2009.0,75.0,28.0,12.0,18.0
3.5,29.0,2016.0,70.0,56.0,6.0,57.0
2.75,299.0,2015.0,80.0,56.0,12.0,41.0
3.0,237.0,2016.0,82.0,3.0,12.0,28.0
2.75,63.0,2008.0,60.0,4.0,11.0,25.0
3.25,272.0,2012.0,80.0,38.0,8.0,19.0
3.5,343.0,2011.0,70.0,7.0,6.0,67.0
4.0,343.0,2013.0,70.0,7.0,6.0,67.0
3.75,337.0,2016.0,67.0,2.0,12.0,1.0
2.5,193.0,2008.0,85.0,14.0,12.0,19.0
3.25,343.0,2016.0,70.0,7.0,12.0,19.0
4.0,14.0,2007.0,75.0,29.0,3.0,63.0
3.5,220.0,2013.0,70.0,56.0,12.0,4.0
2.75,220.0,2013.0,70.0,56.0,12.0,49.0
3.25,49.0,2014.0,72.0,56.0,11.0,2.0
2.75,19.0,2009.0,72.0,55.0,11.0,32.0
3.75,19.0,2008.0,72.0,55.0,8.0,10.0
3.0,396.0,2015.0,60.0,56.0,12.0,63.0
3.25,364.0,2014.0,77.0,56.0,12.0,19.0
3.5,46.0,2014.0,70.0,2.0,12.0,18.0
3.75,326.0,2010.0,65.0,56.0,11.0,37.0
2.75,261.0,2016.0,68.0,56.0,12.0,37.0
3.0,303.0,2014.0,75.0,55.0,8.0,19.0
3.5,393.0,2011.0,70.0,56.0,12.0,18.0
3.0,176.0,2009.0,72.0,14.0,8.0,19.0
3.75,174.0,2014.0,67.0,56.0,12.0,29.0
3.0,64.0,2016.0,75.0,56.0,12.0,3.0
3.5,62.0,2008.0,63.0,14.0,8.0,19.0
3.0,391.0,2010.0,71.0,55.0,11.0,37.0
3.0,343.0,2009.0,70.0,7.0,8.0,18.0
3.0,110.0,2015.0,70.0,55.0,11.0,60.0
3.5,164.0,2016.0,70.0,30.0,12.0,37.0
3.0,399.0,2012.0,75.0,3.0,6.0,45.0
2.5,236.0,2013.0,89.0,56.0,12.0,18.0
3.0,232.0,2016.0,70.0,39.0,12.0,46.0
2.5,248.0,2013.0,75.0,56.0,12.0,18.0
3.25,167.0,2013.0,65.0,56.0,11.0,34.0
3.5,238.0,2011.0,72.0,56.0,12.0,63.0
4.0,247.0,2006.0,65.0,18.0,11.0,37.0
3.0,386.0,2015.0,77.0,56.0,6.0,2.0
3.5,39.0,2016.0,82.0,56.0,11.0,37.0
2.75,303.0,2015.0,80.0,55.0,12.0,30.0
4.0,31.0,2011.0,72.0,4.0,11.0,32.0
2.5,165.0,2008.0,71.0,21.0,11.0,25.0
3.75,203.0,2009.0,60.0,18.0,12.0,63.0
3.5,0.0,2013.0,70.0,18.0,12.0,46.0
3.25,56.0,2011.0,65.0,56.0,12.0,18.0
3.0,39.0,2016.0,75.0,56.0,12.0,18.0
3.0,179.0,2013.0,72.0,55.0,11.0,37.0
3.5,115.0,2015.0,72.0,6.0,12.0,4.0
3.0,74.0,2008.0,75.0,14.0,8.0,19.0
3.25,156.0,2011.0,70.0,12.0,6.0,41.0
2.5,349.0,2012.0,65.0,56.0,12.0,47.0
2.0,329.0,2011.0,73.0,56.0,12.0,29.0
2.75,318.0,2008.0,70.0,56.0,12.0,18.0
2.75,7.0,2014.0,65.0,18.0,11.0,60.0
2.75,168.0,2014.0,80.0,7.0,12.0,45.0
3.75,125.0,2015.0,70.0,29.0,6.0,67.0
3.25,155.0,2013.0,72.0,56.0,12.0,18.0
4.0,10.0,2011.0,70.0,56.0,12.0,45.0
2.5,299.0,2014.0,73.0,56.0,11.0,21.0
3.75,127.0,2010.0,72.0,55.0,12.0,19.0
3.5,343.0,2012.0,85.0,7.0,11.0,45.0
2.5,59.0,2014.0,75.0,57.0,12.0,67.0
3.5,328.0,2015.0,74.0,56.0,6.0,18.0
2.0,288.0,2008.0,100.0,14.0,8.0,19.0
3.0,68.0,2016.0,65.0,9.0,11.0,9.0
4.0,97.0,2008.0,75.0,45.0,8.0,51.0
3.75,127.0,2011.0,72.0,55.0,6.0,30.0
3.25,230.0,2012.0,70.0,41.0,12.0,18.0
2.5,242.0,2014.0,70.0,56.0,12.0,3.0
2.5,293.0,2013.0,55.0,39.0,12.0,46.0
3.75,0.0,2012.0,63.0,18.0,12.0,46.0
2.0,358.0,2016.0,62.0,56.0,8.0,69.0
2.75,403.0,2013.0,74.0,7.0,11.0,2.0
3.5,337.0,2017.0,70.0,2.0,12.0,18.0
2.75,27.0,2016.0,70.0,56.0,12.0,19.0
2.75,231.0,2015.0,70.0,56.0,11.0,60.0
3.0,335.0,2015.0,100.0,7.0,11.0,37.0
2.75,193.0,2008.0,75.0,14.0,12.0,19.0
3.0,313.0,2007.0,75.0,14.0,8.0,19.0
3.75,137.0,2015.0,70.0,57.0,12.0,67.0
3.25,337.0,2015.0,65.0,2.0,11.0,37.0
3.0,401.0,2015.0,74.0,56.0,11.0,37.0
3.25,256.0,2011.0,70.0,38.0,12.0,41.0
3.0,11.0,2009.0,70.0,50.0,8.0,23.0
3.0,403.0,2013.0,72.0,7.0,12.0,18.0
3.0,111.0,2012.0,70.0,56.0,12.0,12.0
3.0,167.0,2006.0,61.0,56.0,3.0,63.0
3.25,203.0,2013.0,60.0,18.0,12.0,58.0
3.5,260.0,2015.0,80.0,56.0,12.0,41.0
4.0,0.0,2013.0,70.0,18.0,11.0,67.0
3.0,179.0,2010.0,70.0,55.0,12.0,18.0
2.75,288.0,2012.0,85.0,14.0,12.0,19.0
3.5,328.0,2015.0,73.0,56.0,8.0,45.0
3.5,156.0,2016.0,70.0,12.0,12.0,41.0
3.75,318.0,2015.0,70.0,56.0,12.0,67.0
3.25,343.0,2012.0,70.0,7.0,12.0,28.0
3.5,40.0,2011.0,75.0,18.0,12.0,46.0
3.5,155.0,2011.0,72.0,56.0,12.0,18.0
3.0,363.0,2012.0,70.0,56.0,12.0,37.0
3.0,337.0,2015.0,67.0,2.0,8.0,46.0
3.75,111.0,2014.0,70.0,56.0,12.0,18.0
3.0,107.0,2016.0,72.0,56.0,11.0,68.0
3.0,139.0,2015.0,79.0,30.0,12.0,67.0
3.5,288.0,2014.0,70.0,14.0,12.0,19.0
2.5,88.0,2014.0,70.0,7.0,6.0,40.0
3.0,287.0,2012.0,65.0,39.0,12.0,46.0
3.5,332.0,2015.0,70.0,10.0,12.0,12.0
3.5,314.0,2015.0,85.0,56.0,12.0,19.0
3.0,142.0,2008.0,72.0,56.0,6.0,67.0
3.25,341.0,2016.0,75.0,36.0,12.0,52.0
3.0,399.0,2012.0,70.0,3.0,6.0,46.0
3.0,125.0,2013.0,100.0,29.0,6.0,67.0
2.5,64.0,2016.0,75.0,56.0,6.0,67.0
3.5,398.0,2011.0,68.0,2.0,12.0,3.0
2.75,126.0,2015.0,77.0,55.0,6.0,37.0
3.25,366.0,2012.0,65.0,56.0,8.0,10.0
2.75,167.0,2011.0,72.0,56.0,12.0,63.0
2.5,34.0,2015.0,76.0,56.0,12.0,12.0
3.25,100.0,2010.0,70.0,1.0,12.0,67.0
3.75,301.0,2014.0,70.0,56.0,12.0,67.0
3.5,58.0,2015.0,70.0,30.0,11.0,68.0
3.0,297.0,2006.0,72.0,4.0,6.0,32.0
3.5,112.0,2011.0,60.0,22.0,12.0,27.0
3.25,215.0,2014.0,65.0,56.0,12.0,29.0
3.25,305.0,2013.0,75.0,6.0,12.0,4.0
3.25,297.0,2015.0,70.0,4.0,8.0,6.0
3.5,18.0,2016.0,70.0,56.0,12.0,27.0
3.25,310.0,2015.0,80.0,56.0,12.0,46.0
4.0,379.0,2012.0,69.0,18.0,12.0,67.0
4.0,343.0,2015.0,75.0,7.0,12.0,67.0
3.5,125.0,2006.0,70.0,29.0,11.0,67.0
3.25,12.0,2013.0,72.0,39.0,12.0,46.0
1.0,104.0,2006.0,70.0,4.0,12.0,63.0
3.5,215.0,2013.0,70.0,56.0,12.0,29.0
3.5,212.0,2012.0,68.0,56.0,6.0,3.0
2.75,129.0,2012.0,82.0,18.0,11.0,37.0
3.75,69.0,2015.0,70.0,56.0,6.0,16.0
3.5,203.0,2011.0,68.0,18.0,11.0,25.0
3.5,238.0,2011.0,70.0,56.0,11.0,2.0
3.0,232.0,2016.0,70.0,39.0,12.0,46.0
2.5,21.0,2012.0,70.0,2.0,3.0,63.0
3.0,360.0,2015.0,70.0,30.0,12.0,9.0
2.75,110.0,2015.0,70.0,55.0,12.0,41.0
2.5,310.0,2015.0,70.0,56.0,12.0,46.0
3.0,242.0,2014.0,70.0,56.0,12.0,41.0
3.75,35.0,2008.0,68.0,56.0,12.0,18.0
3.5,344.0,2014.0,70.0,56.0,12.0,29.0
3.0,403.0,2013.0,72.0,7.0,11.0,19.0
3.0,179.0,2011.0,80.0,55.0,8.0,19.0
2.5,389.0,2011.0,72.0,36.0,8.0,23.0
3.5,117.0,2007.0,77.0,56.0,11.0,12.0
3.5,357.0,2013.0,70.0,24.0,6.0,37.0
3.0,35.0,2008.0,71.0,56.0,11.0,37.0
3.75,227.0,2012.0,74.0,56.0,12.0,18.0
2.75,403.0,2013.0,72.0,7.0,12.0,18.0
3.5,57.0,2010.0,77.0,50.0,12.0,67.0
3.25,240.0,2014.0,70.0,56.0,11.0,2.0
3.0,127.0,2011.0,72.0,55.0,12.0,44.0
2.75,282.0,2011.0,85.0,7.0,12.0,7.0
3.75,326.0,2007.0,75.0,56.0,12.0,67.0
3.25,238.0,2011.0,73.0,56.0,12.0,18.0
3.0,286.0,2006.0,60.0,56.0,12.0,29.0
3.5,191.0,2013.0,70.0,13.0,12.0,18.0
3.75,35.0,2010.0,70.0,56.0,3.0,17.0
2.75,353.0,2013.0,67.0,56.0,11.0,37.0
2.75,364.0,2015.0,70.0,56.0,12.0,46.0
3.5,44.0,2015.0,70.0,56.0,12.0,27.0
2.75,22.0,2015.0,70.0,39.0,12.0,46.0
2.5,178.0,2014.0,72.0,48.0,12.0,19.0
3.0,342.0,2013.0,70.0,56.0,12.0,67.0
3.5,391.0,2010.0,72.0,55.0,12.0,67.0
3.5,14.0,2007.0,63.0,29.0,3.0,63.0
3.25,209.0,2015.0,70.0,56.0,12.0,3.0
2.75,268.0,2015.0,72.0,56.0,11.0,18.0
3.5,159.0,2015.0,75.0,19.0,11.0,37.0
2.5,127.0,2010.0,70.0,55.0,12.0,19.0
2.75,0.0,2013.0,70.0,18.0,12.0,9.0
3.5,260.0,2015.0,70.0,56.0,12.0,41.0
4.0,43.0,2014.0,70.0,56.0,11.0,67.0
3.25,111.0,2011.0,70.0,56.0,12.0,57.0
3.0,238.0,2011.0,70.0,56.0,11.0,67.0
2.75,35.0,2010.0,65.0,56.0,12.0,32.0
3.5,314.0,2015.0,70.0,56.0,3.0,63.0
4.0,31.0,2013.0,73.0,4.0,11.0,19.0
2.5,275.0,2010.0,70.0,56.0,11.0,34.0
3.5,8.0,2017.0,70.0,35.0,6.0,41.0
2.75,347.0,2017.0,70.0,56.0,12.0,46.0
3.25,401.0,2015.0,70.0,56.0,12.0,46.0
2.75,206.0,2014.0,70.0,18.0,12.0,13.0
3.75,326.0,2009.0,68.0,56.0,12.0,4.0
3.0,191.0,2013.0,82.0,13.0,12.0,18.0
3.25,357.0,2012.0,70.0,24.0,12.0,18.0
1.5,338.0,2011.0,67.0,56.0,8.0,23.0
3.5,14.0,2007.0,70.0,29.0,11.0,60.0
2.5,253.0,2012.0,65.0,9.0,12.0,9.0
3.5,189.0,2014.0,70.0,56.0,11.0,37.0
3.25,285.0,2014.0,80.0,54.0,3.0,63.0
3.0,387.0,2016.0,70.0,56.0,12.0,16.0
4.0,40.0,2006.0,75.0,18.0,11.0,37.0
3.75,112.0,2012.0,70.0,22.0,11.0,37.0
2.75,363.0,2012.0,70.0,56.0,12.0,3.0
3.0,271.0,2012.0,70.0,56.0,12.0,67.0
3.25,167.0,2011.0,61.0,56.0,12.0,63.0
3.0,337.0,2016.0,70.0,2.0,11.0,68.0
3.0,26.0,2017.0,73.0,55.0,12.0,38.0
4.0,40.0,2011.0,75.0,18.0,6.0,37.0
2.75,74.0,2010.0,55.0,14.0,8.0,19.0
3.25,133.0,2016.0,70.0,7.0,12.0,9.0
2.5,143.0,2011.0,55.0,56.0,11.0,60.0
3.25,155.0,2011.0,72.0,56.0,12.0,18.0
3.5,397.0,2016.0,70.0,3.0,6.0,37.0
3.25,391.0,2009.0,72.0,55.0,11.0,67.0
2.75,117.0,2008.0,80.0,56.0,12.0,3.0
3.0,40.0,2009.0,75.0,18.0,12.0,33.0
3.0,156.0,2015.0,60.0,12.0,12.0,41.0
